ADDRESS,COL01,COL02,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
"000011003","01","1","6111","0111","3",3.8000000000000000e+05,4.2000000000000000e+06,3.8000000000000000e+05,4.2000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.8000000000000000e+05,4.2000000000000000e+06
"000011006","03","2","8332","4510","3",0.0000000000000000e+00,5.1000000000000000e+06,0.0000000000000000e+00,5.1000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.1000000000000000e+06
"000011010","01","2","7131","4522","3",0.0000000000000000e+00,2.1000000000000000e+06,0.0000000000000000e+00,2.1000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1000000000000000e+06
"000011013","01","2","7501","1724","3",0.0000000000000000e+00,4.2000000000000000e+05,0.0000000000000000e+00,4.2000000000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2000000000000000e+05
"000011014","01","1","8240","2029","3",4.0000000000000000e+05,2.5000000000000000e+06,4.0000000000000000e+05,2.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+05,2.5000000000000000e+06
"000011014","01","1","9314","4521","3",0.0000000000000000e+00,4.5000000000000000e+06,0.0000000000000000e+00,4.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.5000000000000000e+06
"000011014","01","2","9211","0130","3",0.0000000000000000e+00,1.0000000000000000e+06,0.0000000000000000e+00,1.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+06
"000011016","02","1","7501","1724","3",0.0000000000000000e+00,5.0000000000000000e+05,0.0000000000000000e+00,5.0000000000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+05
"000011018","01","1","7501","1724","3",0.0000000000000000e+00,1.2000000000000000e+06,0.0000000000000000e+00,1.2000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+06
"000011019","03","2","9314","4521","3",0.0000000000000000e+00,1.8900000000000000e+06,0.0000000000000000e+00,1.8900000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8900000000000000e+06
"000011025","05","1","7126","4521","3",6.5000000000000000e+05,3.9000000000000000e+06,6.5000000000000000e+05,3.9000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,6.5000000000000000e+05,3.9000000000000000e+06
"000011026","01","1","6113","9249","1",9.2321000000000000e+05,1.1480544000000000e+07,8.4421200000000000e+05,1.0130544000000000e+07,0.0000000000000000e+00,1.3500000000000000e+06,8.4421200000000000e+05,1.1480544000000000e+07
"000011028","03","1","7433","1810","3",5.5000000000000000e+05,6.5500000000000000e+06,5.5000000000000000e+05,6.5500000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,5.5000000000000000e+05,6.5500000000000000e+06
"000011029","04","1","7212","2924","1",8.4000000000000000e+05,9.2700000000000000e+06,8.1480000000000000e+05,8.1054000000000000e+06,0.0000000000000000e+00,8.5500000000000000e+05,8.1480000000000000e+05,8.9604000000000000e+06
"000011030","04","1","7241","5020","3",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"000011031","01","1","9314","4521","3",3.6000000000000000e+05,2.7000000000000000e+06,3.6000000000000000e+05,2.7000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.6000000000000000e+05,2.7000000000000000e+06
"000011032","01","1","9211","0130","3",3.0000000000000000e+05,2.8000000000000000e+06,3.0000000000000000e+05,2.8000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+05,2.8000000000000000e+06
"000011033","03","2","8333","6023","3",0.0000000000000000e+00,1.5000000000000000e+06,0.0000000000000000e+00,1.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+06
"000011035","01","1","2320","8021","1",1.6202500000000000e+06,1.8570016000000000e+07,1.5184180000000000e+06,1.7156541000000000e+07,0.0000000000000000e+00,5.8000000000000000e+05,1.5184180000000000e+06,1.7736541000000000e+07
"000011037","01","1","9314","4521","3",2.7500000000000000e+05,3.0250000000000000e+06,2.7500000000000000e+05,3.0250000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,2.7500000000000000e+05,3.0250000000000000e+06
"000011039","01","1","9211","0130","3",5.0000000000000000e+05,2.5000000000000000e+06,5.0000000000000000e+05,2.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+05,2.5000000000000000e+06
"000011039","01","2","9314","4521","3",0.0000000000000000e+00,7.0000000000000000e+06,0.0000000000000000e+00,7.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+06
"000012002","01","1","9211","0130","3",7.0000000000000000e+05,6.7750000000000000e+06,7.0000000000000000e+05,6.7750000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+05,6.7750000000000000e+06
"000012009","01","2","9314","4521","3",0.0000000000000000e+00,4.0000000000000000e+06,0.0000000000000000e+00,4.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+06
"000012015","01","1","9211","0124","3",0.0000000000000000e+00,8.4500000000000000e+06,0.0000000000000000e+00,8.4500000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.4500000000000000e+06
"000012016","01","1","9314","4521","3",5.4000000000000000e+05,5.1700000000000000e+06,5.4000000000000000e+05,5.1700000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,5.4000000000000000e+05,5.1700000000000000e+06
"000012022","01","2","3439","7513","1",2.4000000000000000e+05,2.6400000000000000e+06,2.4000000000000000e+05,2.6400000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,2.4000000000000000e+05,2.6400000000000000e+06
"000012026","01","1","4190","8021","1",9.9425000000000000e+05,1.2009750000000000e+07,9.0868800000000000e+05,1.0904256000000000e+07,0.0000000000000000e+00,5.0000000000000000e+05,9.0868800000000000e+05,1.1404256000000000e+07
"000012026","04","1","8323","6021","3",4.5000000000000000e+05,1.8000000000000000e+06,4.5000000000000000e+05,1.8000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,4.5000000000000000e+05,1.8000000000000000e+06
"000012027","01","2","9211","0130","3",2.5000000000000000e+05,7.8000000000000000e+06,2.5000000000000000e+05,7.8000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,2.5000000000000000e+05,7.8000000000000000e+06
"000012035","04","1","2320","8021","1",6.1117000000000000e+05,8.5840400000000000e+06,5.6325500000000000e+05,6.7590600000000000e+06,0.0000000000000000e+00,1.1250000000000000e+06,5.6325500000000000e+05,7.8840600000000000e+06
"000013001","03","1","7133","4540","3",5.3000000000000000e+05,4.8500000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,5.3000000000000000e+05,4.8500000000000000e+06,5.3000000000000000e+05,4.8500000000000000e+06
"000013003","01","1","1229","8010","1",1.1954110000000000e+06,1.4444932000000000e+07,1.1166200000000000e+06,1.3399440000000000e+07,0.0000000000000000e+00,5.3000000000000000e+05,1.1166200000000000e+06,1.3929440000000000e+07
"000013005","01","1","7325","2697","3",3.1000000000000000e+05,6.5400000000000000e+06,3.1000000000000000e+05,6.5400000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.1000000000000000e+05,6.5400000000000000e+06
