Address,Dycol01,Dycol03,Dycol04,Dycol05
"2000037070","001","2","12","0010920000"
"2000121315","001","4","12","0021840000"
"2000121326","001","4","12","0021840000"
"2000121320","001","4","12","0021840000"
"2000001156","001","2","12","0010920000"
"2000013221","001","3","12","0016380000"
"2000013222","001","4","12","0021840000"
"2000013226","001","4","12","0021840000"
"2000013228","001","1","12","0005460000"
"2000025066","001","3","12","0016380000"
"2000025075","001","2","12","0010920000"
"2000037062","001","1","12","0005460000"
"2000037073","001","1","12","0005460000"
"2000097154","001","2","12","0010920000"
"2000097157","001","5","12","0027300000"
"2000097161","001","4","12","0021840000"
"2000097164","001","7","12","0038220000"
"2000097166","001","4","12","0021840000"
"2000109206","001","3","12","0016380000"
"2000109209","001","5","12","0027300000"
"2000109212","001","3","12","0016380000"
"2000109216","001","4","12","0021840000"
"2000121316","001","2","12","0010920000"
"2000121323","001","4","12","0021840000"
"2000109203","001","5","12","0027300000"
"2000049061","002","4","12","0021840000"
"2000013233","001","6","12","0032760000"
"2000013233","007","2","12","0010920000"
"2000001159","001","3","12","0016380000"
"2000001146","001","2","12","0010920000"
"2000001148","001","4","12","0021840000"
"2000001152","001","4","12","0021840000"
"2000061007","001","3","12","0016380000"
"2000061011","001","4","12","0021840000"
"2000061014","001","8","12","0043680000"
"2000061018","003","5","12","0027300000"
"2000061021","001","3","12","0016380000"
"2000085168","001","4","12","0021840000"
"2000085169","001","7","12","0038220000"
"2000085174","001","4","12","0021840000"
"2000085180","001","1","12","0005460000"
"2000085180","001","1","9","0004095000"
"2000133047","001","5","12","0027300000"
"2000133050","001","3","6","0008190000"
"2000133059","003","4","12","0021840000"
"2000157154","001","3","12","0016380000"
"2000157157","001","2","12","0010920000"
"2000157162","001","4","12","0021840000"
"2000157163","001","3","12","0016380000"
"2000157167","001","5","12","0027300000"
"2000085176","001","4","12","0021840000"
"2000025062","001","2","12","0010920000"
"2000025068","001","3","12","0016380000"
"2000025071","001","2","12","0010920000"
"2000049066","001","3","12","0016380000"
"2000049067","001","3","12","0016380000"
"2000049071","001","4","12","0021840000"
"2000049074","001","2","12","0010920000"
"2000133057","001","5","12","0027300000"
"2000145007","001","3","12","0016380000"
"2000145011","001","4","12","0021840000"
"2000145015","001","5","12","0027300000"
"2000145018","001","4","12","0021840000"
"2000145020","001","5","12","0027300000"
"2000037065","001","4","12","0021840000"
"2000005066","001","2","12","0010920000"
"2000005066","003","1","3","0001365000"
"2000073329","001","4","12","0021840000"
"2000073323","001","5","12","0027300000"
"2000073321","001","5","12","0027300000"
"2000073332","001","2","12","0010920000"
"2000073327","001","6","12","0032760000"
"2000081296","001","2","12","0010920000"
"2000161126","002","3","12","0016380000"
"2000065111","001","1","12","0005460000"
"2000065109","001","2","12","0010920000"
"2000113250","001","3","12","0016380000"
"2000113254","001","4","12","0021840000"
"2000113248","001","4","12","0021840000"
"2000125056","001","1","12","0005460000"
"2000125061","001","3","12","0016380000"
"2000041009","001","1","12","0005460000"
"2000065113","001","2","12","0010920000"
"2000065118","001","3","12","0016380000"
"2000065121","003","3","12","0016380000"
"2000113258","001","4","12","0021840000"
"2000113261","001","09","12","0049140000"
"2000125060","001","2","12","0010920000"
"2000125065","001","5","12","0027300000"
"2000125068","001","4","12","0021840000"
"2000133053","001","4","12","0021840000"
"2000137059","001","4","12","0021840000"
"2000137062","001","2","12","0010920000"
"2000137066","001","5","12","0027300000"
"2000137068","001","3","12","0016380000"
"2000149063","001","4","12","0021840000"
"2000149069","005","1","8","0003640000"
