ADDRESS,COL01,COL02,COL03,COL04,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
"100011001","02","2","9211","0130","3",0.0000000000000000e+00,3.6750000000000000e+06,0.0000000000000000e+00,3.6750000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6750000000000000e+06
"100011003","02","1","5220","5236","3",8.0000000000000000e+04,3.0000000000000000e+05,8.0000000000000000e+04,3.0000000000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+04,3.0000000000000000e+05
"100011005","01","1","2331","8010","1",1.1485260000000000e+06,1.5382312000000000e+07,1.0200570000000000e+06,1.2240684000000000e+07,0.0000000000000000e+00,1.6000000000000000e+06,1.0200570000000000e+06,1.3840684000000000e+07
"100011005","02","1","2331","8010","1",1.0634500000000000e+06,1.4361400000000000e+07,9.4300300000000000e+05,1.1316036000000000e+07,0.0000000000000000e+00,1.6000000000000000e+06,9.4300300000000000e+05,1.2916036000000000e+07
"100011006","01","1","7233","4522","3",1.7500000000000000e+06,2.2310000000000000e+07,1.7042680000000000e+06,2.0451216000000000e+07,0.0000000000000000e+00,1.2000000000000000e+06,1.7042680000000000e+06,2.1651216000000000e+07
"100011007","01","1","7132","4540","3",1.5000000000000000e+06,1.0200000000000000e+07,1.5000000000000000e+06,1.0200000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+06,1.0200000000000000e+07
"100011008","02","1","3231","8511","1",1.2165200000000000e+06,1.5598240000000000e+08,1.1199350000000000e+06,1.3439220000000000e+07,0.0000000000000000e+00,1.9260000000000000e+06,1.1199350000000000e+06,1.5365220000000000e+07
"100011010","01","1","8125","2722","1",3.8577170000000000e+06,5.1052604000000000e+07,3.5946360000000000e+06,4.3135632000000000e+07,0.0000000000000000e+00,4.5000000000000000e+06,3.5946360000000000e+06,4.7635632000000000e+07
"100011011","01","1","3113","2899","3",1.5400000000000000e+06,1.9680000000000000e+07,1.4977160000000000e+06,1.7972592000000000e+07,0.0000000000000000e+00,1.2000000000000000e+06,1.4977160000000000e+06,1.9172592000000000e+07
"100011012","01","1","8281","2812","1",3.5498720000000000e+06,4.8548464000000000e+07,3.2090850000000000e+06,3.8509020000000000e+07,0.0000000000000000e+00,5.8000000000000000e+06,3.2090850000000000e+06,4.4309020000000000e+07
