Address,Dycol01,Dycol03,Dycol04,Dycol05
"1000077124","01","3","6","0008070000"
"1000029104","01","4","6","0010760000"
"1000029110","01","4","6","0010760000"
"1000029101","01","4","6","0010760000"
"1000029097","01","6","6","0016140000"
"1000089011","01","3","6","0008070000"
"1000089017","01","2","6","0005380000"
"1000017106","01","4","6","0010760000"
"1000017116","01","3","6","0008070000"
"1000017109","01","5","6","0013450000"
"1000041173","01","1","5","0002235000"
"1000041168","01","4","6","0010760000"
"1000017115","01","5","6","0013450000"
"1000041171","01","2","6","0005380000"
"1000089015","01","1","6","0002690000"
"1000029107","01","5","6","0013450000"
"1000041162","01","1","6","0002690000"
"1000101165","01","4","6","0010760000"
"1000041163","01","7","6","0016140000"
"1000101170","01","4","6","0010760000"
"1000053057","01","2","1","0000910000"
"1000113063","01","5","6","0013450000"
"1000113065","01","5","6","0013450000"
"1000113072","01","6","6","0016140000"
"1000113070","01","4","6","0010760000"
"1000053059","01","3","6","0008070000"
"1000053063","01","5","6","0013450000"
"1000053064","01","4","6","0010760000"
"1000065055","01","2","6","0005380000"
"1000065054","01","3","1","0001365000"
"1000065063","01","1","6","0002690000"
"1000065060","01","3","6","0008070000"
"1000065051","01","3","6","0008070000"
"1000101168","01","5","6","0013450000"
"1000101158","01","2","6","0005380000"
"1000005109","01","4","6","0010760000"
"1000005112","01","4","6","0010760000"
"1000005101","01","2","6","0005380000"
"1000005106","01","1","6","0002690000"
"1000113059","01","2","6","0005380000"
"1000089009","01","1","6","0002690000"
"1000069165","01","03","7","0009435000"
"1000105015","01","2","4","0003640000"
"1000105018","01","3","7","0009435000"
"1000069176","01","3","3","0004095000"
"1000069173","01","4","3","0005460000"
"1000093161","01","3","2","0002730000"
"1000081109","01","3","7","0009435000"
"1000105008","01","2","7","0006290000"
"1000089006","01","03","07","0009435000"
"1000081112","01","3","7","0009435000"
"1000105012","01","2","7","0006290000"
"1000009010","01","2","7","0006290000"
"1000045174","01","4","7","0012580000"
"1000093155","01","5","7","0015725000"
"1000093153","01","2","7","0006290000"
"1000017112","01","3","7","0009435000"
"1000045167","01","3","7","0009435000"
"1000021243","01","4","7","0012580000"
"1000081115","01","5","7","0015725000"
"1000057005","01","6","7","0018690000"
"1000069168","01","3","7","0009435000"
"1000097171","01","4","7","0012580000"
"1000057015","01","5","7","0015725000"
"1000009004","01","4","7","0012580000"
"1000045164","01","4","7","0012580000"
"1000045164","03","1","2","0000910000"
"1000045177","01","5","7","0015725000"
"1000021240","01","4","7","0012580000"
"1000057009","01","2","7","0006290000"
"1000057016","01","2","7","0006290000"
"1000081118","01","4","7","0012580000"
"1000009015","01","3","7","0009435000"
"1000009016","01","5","7","0015725000"
"1000021250","01","4","7","0012580000"
"1000053053","01","3","6","0008070000"
"1000021247","01","2","7","0006290000"
"1000081106","01","3","7","0009435000"
"1000057010","01","3","7","0009435000"
"1000021251","01","2","7","0006290000"
"1000033122","01","4","7","0012580000"
"1000033120","01","3","7","0009435000"
"1000093148","01","2","7","0006290000"
"1000093148","03","1","2","0000910000"
"1000033114","01","1","7","0003145000"
"1000045169","01","5","7","0015725000"
"1000033111","01","4","7","0012580000"
"1000069171","01","2","7","0006290000"
"1000033116","01","3","7","0009435000"
"1000077117","01","2","3","0002730000"
"1000009009","01","4","7","0012580000"
"1000077128","01","6","6","0016140000"
"1000077121","01","1","2","0000900000"
"1000077115","01","3","6","0008070000"
"1000001181","01","4","4","0007120000"
"1000001184","01","4","4","0007120000"
"1000001177","01","6","4","0010680000"
"1000001172","01","4","4","0007120000"
"1000097167","01","4","6","0010760000"
"1000097167","05","1","1","0000455000"
"1000073119","01","5","6","0013450000"
"1000001180","01","4","4","0007120000"
"1000097174","01","4","4","0007120000"
"1000073109","01","4","4","0007120000"
"1000073120","01","4","4","0007120000"
"1000073111","01","3","3","0004095000"
"1000073116","01","4","4","0007120000"
